timestamp,src_ip,src_port,dst_ip,dst_port,snd_cwnd,ssthresh,srtt_us,retransmissions,bytes_acked
1783205292,192.168.10.81,47322,172.64.148.235,443,10,2147483647,13466,0,13807
1783205292,192.168.10.81,33746,151.101.1.91,443,10,2147483647,9879,0,3159
1783205292,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205292,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205292,127.0.0.1,41732,127.0.0.1,5201,2,2,271,3472,15710024104
1783205292,192.168.10.81,41668,151.101.193.91,443,10,2147483647,7898,0,3116
1783205293,192.168.10.81,47322,172.64.148.235,443,10,2147483647,13466,0,13807
1783205293,192.168.10.81,33746,151.101.1.91,443,10,2147483647,9879,0,3159
1783205293,192.168.10.81,48774,172.217.30.78,443,13,2147483647,11794,0,13902
1783205293,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205293,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205293,192.168.10.81,48782,172.217.30.78,443,10,2147483647,10265,0,3245
1783205293,127.0.0.1,41732,127.0.0.1,5201,4,4,108,3785,17068261361
1783205293,192.168.10.81,41668,151.101.193.91,443,10,2147483647,7898,0,3116
1783205294,192.168.10.81,47322,172.64.148.235,443,10,2147483647,13466,0,13807
1783205294,192.168.10.81,33746,151.101.1.91,443,10,2147483647,9879,0,3159
1783205294,192.168.10.81,48774,172.217.30.78,443,13,2147483647,11794,0,13902
1783205294,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205294,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205294,192.168.10.81,48782,172.217.30.78,443,10,2147483647,10265,0,3245
1783205294,127.0.0.1,41732,127.0.0.1,5201,7,3,88,4124,18582077372
1783205294,192.168.10.81,41668,151.101.193.91,443,10,2147483647,7898,0,3116
1783205295,192.168.10.81,47322,172.64.148.235,443,10,2147483647,13466,0,13807
1783205295,192.168.10.81,33746,151.101.1.91,443,10,2147483647,9879,0,3159
1783205295,192.168.10.81,48774,172.217.30.78,443,13,2147483647,11794,0,13902
1783205295,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205295,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205295,192.168.10.81,48782,172.217.30.78,443,10,2147483647,10265,0,3245
1783205295,127.0.0.1,41732,127.0.0.1,5201,2,2,423,4352,19643361208
1783205295,192.168.10.81,41668,151.101.193.91,443,10,2147483647,7898,0,3116
1783205296,192.168.10.81,47322,172.64.148.235,443,10,2147483647,13466,0,13807
1783205296,192.168.10.81,33746,151.101.1.91,443,10,2147483647,9879,0,3159
1783205296,192.168.10.81,48774,172.217.30.78,443,13,2147483647,11794,0,13902
1783205296,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205296,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205296,192.168.10.81,48782,172.217.30.78,443,10,2147483647,10265,0,3245
1783205296,127.0.0.1,41732,127.0.0.1,5201,2,4,74,4577,20639121446
1783205296,192.168.10.81,41668,151.101.193.91,443,10,2147483647,7898,0,3116
1783205297,192.168.10.81,47322,172.64.148.235,443,10,2147483647,13466,0,13807
1783205297,192.168.10.81,54562,172.217.30.138,443,10,2147483647,9083,0,5345
1783205297,192.168.10.81,33746,151.101.1.91,443,10,2147483647,9879,0,3159
1783205297,192.168.10.81,56584,172.217.30.106,443,10,2147483647,9477,0,2658
1783205297,192.168.10.81,48774,172.217.30.78,443,13,2147483647,11794,0,13902
1783205297,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205297,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205297,192.168.10.81,48782,172.217.30.78,443,10,2147483647,10265,0,3245
1783205297,127.0.0.1,41732,127.0.0.1,5201,2,4,94,4872,21970026428
1783205297,192.168.10.81,41668,151.101.193.91,443,10,2147483647,7898,0,3116
1783205298,192.168.10.81,47322,172.64.148.235,443,10,2147483647,13466,0,13807
1783205298,192.168.10.81,54562,172.217.30.138,443,10,2147483647,9083,0,5345
1783205298,192.168.10.81,33746,151.101.1.91,443,10,2147483647,9879,0,3159
1783205298,192.168.10.81,56584,172.217.30.106,443,10,2147483647,9477,0,2658
1783205298,192.168.10.81,48774,172.217.30.78,443,13,2147483647,11794,0,13902
1783205298,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205298,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205298,192.168.10.81,48782,172.217.30.78,443,10,2147483647,10265,0,3245
1783205298,127.0.0.1,41732,127.0.0.1,5201,6,4,143,5051,22798925756
1783205298,192.168.10.81,41668,151.101.193.91,443,10,2147483647,7898,0,3116
1783205299,192.168.10.81,47322,172.64.148.235,443,10,2147483647,13466,0,13807
1783205299,192.168.10.81,54562,172.217.30.138,443,10,2147483647,9083,0,5345
1783205299,192.168.10.81,33746,151.101.1.91,443,10,2147483647,9879,0,3159
1783205299,192.168.10.81,56584,172.217.30.106,443,10,2147483647,9477,0,2658
1783205299,192.168.10.81,48774,172.217.30.78,443,17,2147483647,10790,0,23498
1783205299,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205299,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205299,192.168.10.81,48782,172.217.30.78,443,10,2147483647,10265,0,3245
1783205299,127.0.0.1,41732,127.0.0.1,5201,6,4,156,5281,23791271868
1783205299,192.168.10.81,41668,151.101.193.91,443,10,2147483647,7898,0,3116
